Date,Open,High,Low,Close,Volume,ROC,Net Change
2024-08-02,412.49,415.0,404.34,408.49,29.438,-2.07,-0.97
2024-08-01,420.78,427.46,413.09,417.11,30.296,-0.3,-0.87
2024-07-31,420.5,421.78,412.21,418.35,42.891,-1.08,-0.51
2024-07-30,427.72,429.05,417.36,422.92,32.688,-0.89,-1.12
2024-07-29,431.58,432.15,424.7,426.73,15.126,0.34,-1.12
2024-07-26,418.2,428.92,417.27,425.27,23.584,1.64,1.69
2024-07-25,428.8,429.8,417.51,418.4,29.944,-2.45,-2.43
2024-07-24,440.45,441.48,427.58,428.9,26.806,-3.59,-2.62
2024-07-23,443.9,448.39,443.1,444.85,13.107,0.43,0.22
2024-07-22,441.79,444.6,438.91,442.94,15.809,1.33,0.26
2024-07-19,433.1,441.14,432.0,437.11,20.94,-0.74,0.93
2024-07-18,444.34,444.65,434.4,440.37,20.795,-0.71,-0.89
2024-07-17,442.59,444.85,439.18,443.52,21.754,-1.33,0.21
2024-07-16,454.22,454.3,446.66,449.52,17.176,-0.98,-1.03
2024-07-15,453.3,457.26,451.43,453.96,14.429,0.09,0.15
2024-07-12,454.32,456.36,450.64,453.55,16.324,-0.25,-0.17
2024-07-11,462.98,464.78,451.55,454.7,23.111,-2.48,-1.79
2024-07-10,461.22,466.46,458.86,466.25,18.196,1.46,1.09
2024-07-09,467.0,467.33,458.0,459.54,17.229,-1.44,-1.6
2024-07-08,466.55,467.7,464.46,466.24,12.962,-0.28,-0.07
2024-07-05,459.61,468.35,458.96,467.56,16.0,1.47,1.73
2024-07-03,458.19,461.02,457.88,460.77,9.933,0.32,0.56
2024-07-02,453.2,459.59,453.11,459.28,13.98,0.56,1.34
2024-07-01,448.66,457.37,445.66,456.73,17.663,2.19,1.8
2024-06-28,453.07,455.38,446.41,446.95,28.362,-1.3,-1.35
2024-06-27,452.18,456.17,451.77,452.85,14.806,0.15,0.15
2024-06-26,449.0,453.6,448.19,452.16,16.507,0.27,0.7
2024-06-25,448.25,451.42,446.75,450.95,16.748,0.73,0.6
2024-06-24,449.8,452.75,446.41,447.67,15.914,-0.47,-0.47
2024-06-21,447.38,450.58,446.51,449.78,34.486,0.92,0.54
2024-06-20,446.3,446.53,441.27,445.7,19.877,-0.14,-0.13
2024-06-18,449.7,450.14,444.89,446.34,17.113,-0.45,-0.75
2024-06-17,442.58,450.94,440.72,448.37,20.79,1.31,1.31
2024-06-14,438.28,443.14,436.72,442.57,13.582,0.22,0.98
2024-06-13,440.85,443.39,439.37,441.58,15.961,0.12,0.17
2024-06-12,435.32,443.4,433.25,441.06,22.366,1.94,1.32
2024-06-11,425.48,432.82,425.25,432.68,14.551,1.12,1.69
2024-06-10,424.7,428.08,423.89,427.87,14.003,0.95,0.75
2024-06-07,426.2,426.28,423.0,423.85,13.622,-0.16,-0.55
2024-06-06,424.01,425.31,420.58,424.52,14.861,0.12,0.12
2024-06-05,417.81,424.08,416.3,424.01,16.988,1.91,1.48
2024-06-04,412.43,416.44,409.68,416.07,14.349,0.62,0.88
2024-06-03,415.52,416.43,408.92,413.52,17.485,-0.39,-0.48
2024-05-31,416.75,416.75,404.51,415.13,47.995,0.11,-0.39
2024-05-30,424.3,424.3,414.24,414.67,28.425,-3.38,-2.27
2024-05-29,425.69,430.94,425.69,429.17,15.517,-0.27,0.82
2024-05-28,429.63,430.82,426.6,430.32,15.718,0.04,0.16
2024-05-24,427.19,431.06,424.41,430.16,11.855,0.74,0.7
2024-05-23,432.97,433.6,425.42,427.0,17.212,-0.82,-1.38
2024-05-22,430.09,432.41,427.13,430.52,18.074,0.34,0.1
2024-05-21,426.82,432.97,424.85,429.04,21.453,0.87,0.52
2024-05-20,420.21,426.77,419.99,425.34,16.272,1.22,1.22
2024-05-17,422.54,422.92,418.02,420.21,15.352,-0.19,-0.55
2024-05-16,421.8,425.42,420.35,420.99,17.53,-0.49,-0.19
2024-05-15,417.9,423.81,417.27,423.08,22.24,1.57,1.24
2024-05-14,412.02,417.49,411.55,416.56,15.109,0.69,1.1
2024-05-13,418.01,418.35,410.82,413.72,15.44,-0.25,-1.03
2024-05-10,412.94,415.38,411.8,414.74,13.402,0.59,0.44
2024-05-09,410.57,412.72,409.1,412.32,14.69,0.43,0.43
2024-05-08,408.17,412.23,406.71,410.54,11.792,0.29,0.58
2024-05-07,414.66,414.67,409.09,409.34,20.018,-1.02,-1.28
2024-05-06,408.76,413.93,406.37,413.54,16.997,1.69,1.17
2024-05-03,402.28,407.15,401.86,406.66,17.447,2.22,1.09
2024-05-02,397.66,399.93,394.65,397.84,17.709,0.73,0.05
2024-05-01,392.61,401.72,390.31,394.94,23.562,1.44,0.59
2024-04-30,401.49,402.16,389.17,389.33,28.781,-3.21,-3.03
2024-04-29,405.25,406.32,399.19,402.25,19.582,-1.0,-0.74
2024-04-26,412.17,413.0,405.76,406.32,29.695,1.82,-1.42
2024-04-25,394.03,399.89,388.03,399.04,40.586,-2.45,1.27
2024-04-24,409.56,412.47,406.78,409.06,15.065,0.37,-0.12
2024-04-23,404.24,408.2,403.06,407.57,15.735,1.65,0.83
2024-04-22,400.08,402.85,395.75,400.96,20.287,0.46,0.22
2024-04-19,404.03,405.48,397.77,399.12,30.566,-1.27,-1.22
2024-04-18,410.63,411.89,403.95,404.27,21.03,-1.84,-1.55
2024-04-17,417.25,418.88,410.33,411.84,15.855,-0.66,-1.3
2024-04-16,414.57,418.4,413.73,414.58,16.766,0.23,0.0
2024-04-15,426.6,426.82,413.43,413.64,20.274,-1.96,-3.04
2024-04-12,424.05,425.18,419.77,421.9,19.254,-1.41,-0.51
2024-04-11,425.82,429.37,422.36,427.93,17.966,1.1,0.5
2024-04-10,422.19,424.03,419.7,423.26,16.217,-0.71,0.25
2024-04-09,426.44,427.74,421.62,426.28,12.469,0.4,-0.04
2024-04-08,425.17,427.28,423.3,424.59,14.248,-0.22,-0.14
2024-04-05,420.01,426.51,418.32,425.52,16.527,1.83,1.31
2024-04-04,424.99,428.67,417.57,417.88,19.291,-0.61,-1.67
2024-04-03,419.73,423.26,419.08,420.45,16.462,-0.23,0.17
2024-04-02,420.11,422.38,417.84,421.44,17.862,-0.74,0.32
2024-04-01,423.95,427.89,422.22,424.57,15.603,0.92,0.15
2024-03-28,420.96,421.87,419.12,420.72,21.871,-0.17,-0.06
2024-03-27,424.44,424.45,419.01,421.43,16.705,-0.05,-0.71
2024-03-26,425.61,425.99,421.35,421.65,16.726,-0.29,-0.93
2024-03-25,425.24,427.41,421.61,422.86,18.06,-1.37,-0.56
2024-03-22,429.7,429.86,426.07,428.74,17.648,-0.15,-0.22
2024-03-21,429.83,430.82,427.16,429.37,21.296,0.97,-0.11
2024-03-20,422.0,425.96,420.66,425.23,17.86,0.91,0.77
2024-03-19,417.83,421.67,415.55,421.41,19.838,0.98,0.86
2024-03-18,414.25,420.73,413.78,417.32,20.106,0.22,0.74
2024-03-15,419.29,422.6,412.79,416.42,45.08,-2.07,-0.68
2024-03-14,420.24,427.82,417.99,425.22,33.955,2.44,1.19
2024-03-13,418.1,418.18,411.45,415.1,16.99,-0.04,-0.72
2024-03-12,407.62,415.57,406.79,415.28,21.564,2.66,1.88
2024-03-11,403.76,405.68,401.26,404.52,15.999,-0.42,0.19
2024-03-08,407.96,410.42,404.33,406.22,18.002,-0.71,-0.43
2024-03-07,406.12,409.78,402.24,409.14,18.718,1.75,0.74
2024-03-06,402.97,405.16,398.39,402.09,22.344,-0.14,-0.22
2024-03-05,413.96,414.25,400.64,402.65,26.919,-2.96,-2.73
2024-03-04,413.44,417.35,412.32,414.92,17.596,-0.14,0.36
2024-03-01,411.27,415.87,410.88,415.5,17.823,0.45,1.03
2024-02-29,408.64,414.2,405.92,413.64,31.947,1.45,1.22
2024-02-28,408.18,409.3,405.32,407.72,13.183,0.06,-0.11
2024-02-27,407.99,408.32,403.85,407.48,14.836,-0.01,-0.13
2024-02-26,411.46,412.16,407.36,407.54,16.194,-0.68,-0.95
2024-02-23,415.67,415.86,408.97,410.34,16.296,-0.32,-1.28
2024-02-22,410.19,412.83,408.57,411.65,27.01,2.35,0.36
2024-02-21,400.17,402.29,397.22,402.18,18.631,-0.15,0.5
2024-02-20,403.24,404.49,398.01,402.79,24.308,-0.31,-0.11
2024-02-16,407.96,408.29,403.44,404.06,22.296,-0.61,-0.96
2024-02-15,408.14,409.13,404.29,406.56,21.826,-0.72,-0.39
2024-02-14,408.07,409.84,404.57,409.49,20.401,0.78,0.35
2024-02-13,404.94,410.07,403.39,406.32,27.825,-2.15,0.34
2024-02-12,420.56,420.74,414.75,415.26,21.203,-1.26,-1.26
2024-02-09,415.25,420.82,415.09,420.55,22.033,1.56,1.28
2024-02-08,414.05,415.56,412.53,414.11,21.225,0.01,0.01
2024-02-07,407.44,414.3,407.4,414.05,22.341,2.11,1.62
2024-02-06,405.88,407.97,402.91,405.49,18.383,-0.04,-0.1
2024-02-05,409.9,411.16,403.99,405.65,25.352,-1.35,-1.04
2024-02-02,403.81,412.65,403.56,411.22,28.257,1.84,1.84
2024-02-01,401.83,408.0,401.8,403.78,30.658,1.56,0.49
2024-01-31,406.96,415.32,397.21,397.58,47.871,-2.69,-2.3
2024-01-30,412.26,413.05,406.45,408.59,33.478,-0.28,-0.89
2024-01-29,406.06,409.98,404.33,409.72,24.51,1.43,0.9
2024-01-26,404.37,406.17,402.43,403.93,17.803,-0.23,-0.11
2024-01-25,404.32,407.01,402.53,404.87,21.021,0.57,0.14
2024-01-24,401.54,405.63,400.45,402.56,23.282,0.92,0.25
2024-01-23,395.75,399.38,393.93,398.9,20.526,0.6,0.8
2024-01-22,400.02,400.62,393.59,396.51,27.017,-0.54,-0.88
2024-01-19,395.76,398.67,393.5,398.67,29.331,1.22,0.74
2024-01-18,391.72,393.99,390.12,393.87,23.392,1.13,0.55
2024-01-17,387.98,390.11,384.81,389.47,22.234,-0.2,0.38
2024-01-16,393.66,394.03,387.62,390.27,27.202,0.46,-0.86
2024-01-12,385.49,388.68,384.65,388.47,21.661,1.0,0.77
2024-01-11,386.0,390.68,380.38,384.63,27.851,0.49,-0.35
2024-01-10,376.37,384.17,376.32,382.77,25.514,1.86,1.7
2024-01-09,372.01,375.99,371.19,375.79,20.83,0.29,1.02
2024-01-08,369.3,375.2,369.01,374.69,23.134,1.89,1.46
2024-01-05,368.97,372.06,366.5,367.75,20.074,-0.05,-0.33
2024-01-04,370.66,373.1,367.17,367.94,20.902,-0.72,-0.74
2024-01-03,369.01,373.26,368.51,370.6,23.083,-0.07,0.43
2024-01-02,373.86,375.9,366.77,370.87,25.259,-1.37,-0.8
2023-12-29,376.0,377.16,373.48,376.04,18.731,0.2,0.01
2023-12-28,375.37,376.46,374.16,375.28,14.327,0.32,-0.02
2023-12-27,373.69,375.06,372.81,374.07,14.873,-0.16,0.1
2023-12-26,375.0,376.94,373.5,374.66,12.673,0.02,-0.09
2023-12-22,373.68,375.18,372.71,374.58,17.107,0.28,0.24
2023-12-21,372.56,374.41,370.04,373.54,17.708,0.79,0.26
2023-12-20,375.0,376.03,370.53,370.62,26.317,-0.71,-1.17
2023-12-19,371.49,373.26,369.84,373.26,20.533,0.16,0.48
2023-12-18,369.45,373.0,368.68,372.65,21.803,0.52,0.87
2023-12-15,366.85,372.4,366.28,370.73,78.502,1.31,1.06
2023-12-14,373.31,373.76,364.13,365.93,43.277,-2.25,-1.98
2023-12-13,376.02,377.64,370.77,374.37,30.956,-0.0,-0.44
2023-12-12,370.85,374.42,370.46,374.38,24.838,0.83,0.95
2023-12-11,368.48,371.6,366.1,371.3,27.709,-0.78,0.77
2023-12-08,369.2,374.46,368.23,374.23,20.154,0.88,1.36
2023-12-07,368.23,371.45,366.32,370.95,23.119,0.58,0.74
2023-12-06,373.54,374.18,368.03,368.8,21.118,-1.0,-1.27
2023-12-05,366.45,373.08,365.62,372.52,23.065,0.92,1.66
2023-12-04,369.1,369.52,362.9,369.14,32.063,-1.43,0.01
2023-12-01,376.76,378.16,371.31,374.51,33.04,-1.16,-0.6
2023-11-30,378.49,380.09,375.47,378.91,30.554,0.02,0.11
