,index,1. open,2. high,3. low,4. close,5. volume
0,2024-08-02,412.4900,415.0000,404.3400,408.4900,29437900
1,2024-08-01,420.7850,427.4600,413.0901,417.1100,30296400
2,2024-07-31,420.4950,421.7750,412.2100,418.3500,42891366
3,2024-07-30,427.7200,429.0500,417.3600,422.9200,32687578
4,2024-07-29,431.5800,432.1500,424.7042,426.7300,15125836
5,2024-07-26,418.2000,428.9150,417.2700,425.2700,23583839
6,2024-07-25,428.8000,429.8000,417.5100,418.4000,29943795
7,2024-07-24,440.4500,441.4800,427.5850,428.9000,26805800
8,2024-07-23,443.8950,448.3900,443.1000,444.8500,13107050
9,2024-07-22,441.7900,444.6000,438.9125,442.9400,15808755
10,2024-07-19,433.1000,441.1400,432.0000,437.1100,20940417
11,2024-07-18,444.3400,444.6500,434.4000,440.3700,20794822
12,2024-07-17,442.5900,444.8500,439.1800,443.5200,21754021
13,2024-07-16,454.2200,454.3000,446.6600,449.5200,17175679
14,2024-07-15,453.3000,457.2600,451.4300,453.9600,14429447
15,2024-07-12,454.3250,456.3600,450.6450,453.5500,16324274
16,2024-07-11,462.9800,464.7800,451.5500,454.7000,23111175
17,2024-07-10,461.2200,466.4600,458.8550,466.2500,18196100
18,2024-07-09,467.0000,467.3300,458.0000,459.5400,17228507
19,2024-07-08,466.5500,467.7000,464.4600,466.2400,12962321
20,2024-07-05,459.6100,468.3500,458.9650,467.5600,16000290
21,2024-07-03,458.1900,461.0200,457.8800,460.7700,9932830
22,2024-07-02,453.2000,459.5900,453.1130,459.2800,13979779
23,2024-07-01,448.6600,457.3700,445.6600,456.7300,17662818
24,2024-06-28,453.0700,455.3800,446.4100,446.9500,28362271
25,2024-06-27,452.1750,456.1700,451.7700,452.8500,14806324
26,2024-06-26,449.0000,453.6000,448.1900,452.1600,16507030
27,2024-06-25,448.2500,451.4200,446.7500,450.9500,16747529
28,2024-06-24,449.8000,452.7500,446.4100,447.6700,15913719
29,2024-06-21,447.3800,450.5800,446.5100,449.7800,34486172
30,2024-06-20,446.3000,446.5300,441.2700,445.7000,19877378
31,2024-06-18,449.7050,450.1400,444.8900,446.3400,17112504
32,2024-06-17,442.5850,450.9400,440.7200,448.3700,20790030
33,2024-06-14,438.2750,443.1376,436.7210,442.5700,13581985
34,2024-06-13,440.8500,443.3900,439.3700,441.5800,15960565
35,2024-06-12,435.3200,443.4000,433.2500,441.0600,22366233
36,2024-06-11,425.4750,432.8200,425.2500,432.6800,14551101
37,2024-06-10,424.7000,428.0800,423.8900,427.8700,14003034
38,2024-06-07,426.2000,426.2800,423.0000,423.8500,13621650
39,2024-06-06,424.0100,425.3100,420.5800,424.5200,14861251
40,2024-06-05,417.8100,424.0800,416.3000,424.0100,16988038
41,2024-06-04,412.4300,416.4400,409.6750,416.0700,14348917
42,2024-06-03,415.5250,416.4300,408.9234,413.5200,17484675
43,2024-05-31,416.7500,416.7500,404.5100,415.1300,47995250
44,2024-05-30,424.3000,424.3000,414.2400,414.6700,28424847
45,2024-05-29,425.6900,430.9400,425.6900,429.1700,15517130
46,2024-05-28,429.6300,430.8200,426.6000,430.3200,15718024
47,2024-05-24,427.1900,431.0550,424.4100,430.1600,11855285
48,2024-05-23,432.9700,433.6000,425.4240,427.0000,17211689
49,2024-05-22,430.0900,432.4100,427.1300,430.5200,18073698
50,2024-05-21,426.8250,432.9700,424.8500,429.0400,21453255
51,2024-05-20,420.2100,426.7700,419.9900,425.3400,16272137
52,2024-05-17,422.5400,422.9200,418.0250,420.2100,15352239
53,2024-05-16,421.8000,425.4200,420.3500,420.9900,17530050
54,2024-05-15,417.9000,423.8100,417.2700,423.0800,22239533
55,2024-05-14,412.0200,417.4900,411.5500,416.5600,15109306
56,2024-05-13,418.0100,418.3480,410.8200,413.7200,15440226
57,2024-05-10,412.9350,415.3800,411.8000,414.7400,13402281
58,2024-05-09,410.5700,412.7200,409.1000,412.3200,14689727
59,2024-05-08,408.1700,412.2300,406.7132,410.5400,11792308
60,2024-05-07,414.6600,414.6700,409.0900,409.3400,20018228
